src_ip,dst_ip,src_port,dst_port,packet_size,protocol_type,timestamp
203.0.113.1,10.0.0.1,32509,80,75,UDP,0.0
203.0.113.7,10.0.0.1,10722,80,95,UDP,0.0006648987535216068
203.0.113.2,10.0.0.1,22147,80,87,UDP,0.001860945588516014
203.0.113.7,10.0.0.1,16566,80,76,UDP,0.0033453812938537787
203.0.113.2,10.0.0.1,23374,80,37,UDP,0.004211231749597168
203.0.113.3,10.0.0.1,10113,80,48,UDP,0.005086621912587049
203.0.113.5,10.0.0.1,2949,80,117,UDP,0.006031595588592207
203.0.113.2,10.0.0.1,25610,80,123,UDP,0.006461749403859276
203.0.113.9,10.0.0.1,21478,80,87,UDP,0.007610680920782957
203.0.113.5,10.0.0.1,40135,80,54,UDP,0.008249805471383929
203.0.113.6,10.0.0.1,41556,80,122,UDP,0.00875281692559323
203.0.113.2,10.0.0.1,19693,80,89,UDP,0.009388125401887768
203.0.113.6,10.0.0.1,52682,80,83,UDP,0.010345117737840854
203.0.113.9,10.0.0.1,1106,80,41,UDP,0.011497131379184943
203.0.113.4,10.0.0.1,36869,80,80,UDP,0.012353814741315276
203.0.113.7,10.0.0.1,44914,80,59,UDP,0.013782213402828696
203.0.113.6,10.0.0.1,63978,80,82,UDP,0.013897408522337642
203.0.113.9,10.0.0.1,3667,80,67,UDP,0.014766746802622204
203.0.113.9,10.0.0.1,31594,80,101,UDP,0.015481173488779188
203.0.113.5,10.0.0.1,14270,80,37,UDP,0.01637594273457281
203.0.113.2,10.0.0.1,42718,80,40,UDP,0.01683028210723459
203.0.113.6,10.0.0.1,47543,80,91,UDP,0.017471546749538377
203.0.113.8,10.0.0.1,1364,80,78,UDP,0.018997572635914346
203.0.113.3,10.0.0.1,50681,80,69,UDP,0.019588107694444773
203.0.113.9,10.0.0.1,45409,80,37,UDP,0.020761451662672455
203.0.113.2,10.0.0.1,52061,80,104,UDP,0.021680456233300796
203.0.113.9,10.0.0.1,54635,80,106,UDP,0.02292700674333076
203.0.113.6,10.0.0.1,57453,80,121,UDP,0.02302700674333076
203.0.113.6,10.0.0.1,39695,80,75,UDP,0.024207803412959097
203.0.113.9,10.0.0.1,43382,80,65,UDP,0.02486432979857992
203.0.113.8,10.0.0.1,54250,80,99,UDP,0.02626996915011137
203.0.113.8,10.0.0.1,37489,80,43,UDP,0.02798906802128351
203.0.113.7,10.0.0.1,17694,80,116,UDP,0.02969731456365444
203.0.113.3,10.0.0.1,34322,80,94,UDP,0.03057079516111779
203.0.113.4,10.0.0.1,49219,80,95,UDP,0.030685362521963605
203.0.113.3,10.0.0.1,43480,80,84,UDP,0.03219137432936241
203.0.113.8,10.0.0.1,16012,80,50,UDP,0.03294309921910634
203.0.113.4,10.0.0.1,12755,80,122,UDP,0.03342307754425201
203.0.113.5,10.0.0.1,3348,80,37,UDP,0.03536472248807336
203.0.113.1,10.0.0.1,48664,80,97,UDP,0.03654296549469668
203.0.113.3,10.0.0.1,37396,80,99,UDP,0.03678569310724696
203.0.113.7,10.0.0.1,39977,80,86,UDP,0.037774232509052465
